[DEBUG] 2026-02-21 15:02:12,018 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1771248964.3781016
[DEBUG] 2026-02-21 15:02:12,018 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\DLLs\_sqlite3.pyd first seen with mtime 1771259526.429848
[DEBUG] 2026-02-21 15:02:12,018 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\contrib\admin\filters.py first seen with mtime 1771248962.2081912
[DEBUG] 2026-02-21 15:02:12,018 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\core\handlers\exception.py first seen with mtime 1771248964.316368
[DEBUG] 2026-02-21 15:02:12,018 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\chardet\gb2312prober.py first seen with mtime 1757776980.0163262
[DEBUG] 2026-02-21 15:02:12,018 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\core\serializers\json.py first seen with mtime 1771248964.3414164
[DEBUG] 2026-02-21 15:02:12,018 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\html\entities.py first seen with mtime 1748616819.6275144
[DEBUG] 2026-02-21 15:02:12,019 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\charset_normalizer\md__mypyc.cp313-win_amd64.pyd first seen with mtime 1751624052.8619542
[DEBUG] 2026-02-21 15:02:12,019 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\conf\urls\__init__.py first seen with mtime 1771248962.202192
[DEBUG] 2026-02-21 15:02:12,019 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\asgiref\local.py first seen with mtime 1766051619.2751138
[DEBUG] 2026-02-21 15:02:12,019 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\re\_compiler.py first seen with mtime 1748616822.1001813
[DEBUG] 2026-02-21 15:02:12,019 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\transaction.py first seen with mtime 1771248964.3454204
[DEBUG] 2026-02-21 15:02:12,019 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\setuptools\_vendor\jaraco\context.py first seen with mtime 1755982779.560344
[DEBUG] 2026-02-21 15:02:12,019 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\xml\etree\ElementTree.py first seen with mtime 1754647088.8553689
[DEBUG] 2026-02-21 15:02:12,019 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1771248964.3961785
[DEBUG] 2026-02-21 15:02:12,020 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\dataclasses.py first seen with mtime 1748616817.6527498
[DEBUG] 2026-02-21 15:02:12,020 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\contrib\auth\__init__.py first seen with mtime 1771248962.7534552
[DEBUG] 2026-02-21 15:02:12,020 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\constraints.py first seen with mtime 1771248964.4001799
[DEBUG] 2026-02-21 15:02:12,020 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\packaging\_elffile.py first seen with mtime 1749712950.4560854
[DEBUG] 2026-02-21 15:02:12,020 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\core\checks\async_checks.py first seen with mtime 1771248964.2983658
[DEBUG] 2026-02-21 15:02:12,020 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\pkgutil.py first seen with mtime 1748616822.068583
[DEBUG] 2026-02-21 15:02:12,020 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1771248962.9354491
[DEBUG] 2026-02-21 15:02:12,020 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\cloudinary\api_client\execute_request.py first seen with mtime 1771532716.5741978
[DEBUG] 2026-02-21 15:02:12,021 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1771248964.2791162
[DEBUG] 2026-02-21 15:02:12,021 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\razorpay\resources\transfer.py first seen with mtime 1771248976.976298
[DEBUG] 2026-02-21 15:02:12,021 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\urllib3\connectionpool.py first seen with mtime 1751624052.2467341
[DEBUG] 2026-02-21 15:02:12,021 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\DLLs\_bz2.pyd first seen with mtime 1771259526.4144094
[DEBUG] 2026-02-21 15:02:12,021 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\context.py first seen with mtime 1750312398.8196666
[DEBUG] 2026-02-21 15:02:12,022 autoreload File C:\Users\salil\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\core\files\storage\__init__.py first seen with mtime 1771248964.3113637
[DEBUG] 2026-02-21 15:02:12,022 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\reduction.py first seen with mtime 1748616820.6829245
[DEBUG] 2026-02-21 15:02:12,022 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\uuid.py first seen with mtime 1754647088.848258
